Invoice,Amount
0887545-IN,350.4
0887546-IN,1070.32
0887548-IN,404.4
0887549-IN,768.52
0887615-IN,1070.32
0887616-IN,806.4
0887617-IN,1291.71
0887618-IN,420.44
0887619-IN,350.37
0887620-IN,352.8
0887621-IN,352.8
0888003-IN,386.46
0888004-IN,350.4
0888035-IN,806.4
0888036-IN,1070.32
0888037-IN,1069.59
0888038-IN,352.86
0888270-IN,404.4
0888271-IN,352.89
0888272-IN,1070.4
0888273-IN,350.4
0888274-IN,352.8
0888276-IN,806.4
0888277-IN,350.4
0888278-IN,1070.56
0888279-IN,402.34
0888580-IN,352.83
0888583-IN,350.4
0888584-IN,1062.38
0888585-IN,806.4
0888586-IN,349.35
0888588-IN,404.4
0888589-IN,806.4
0888635-IN,396.52
0888783-IN,350.4
0888784-IN,768.58
0888786-IN,352.83
0888787-IN,350.4
0888789-IN,404.4
0888790-IN,352.86
0888796-IN,1070.24
0888805-IN,1070.56
0888915-IN,386.62
0889113-IN,350.4
0889114-IN,1070.32
0889115-IN,768.58
0889119-IN,404.4
0889121-IN,352.83
0889181-IN,386.65
0889182-IN,404.4
0889183-IN,352.83
0889184-IN,1070.32
0889185-IN,768.58
0889186-IN,352.77
0889187-IN,350.4
0889188-IN,1093.48
0889189-IN,352.8
0889190-IN,768.58
0889191-IN,1070
0889192-IN,404.4
0889193-IN,350.4
0889194-IN,352.83
0889195-IN,348.47
0889568-IN,1070.4
0889569-IN,1070.4
0889581-IN,352.83
0889582-IN,806.58
0889583-IN,350.4
0889592-IN,386.65
FM0325-PP,-2564
S050063-IN,199.72
S049809-IN,420.75
W266382-IN,85
PB0925-PP,-975
W262881-IN,99
0880067-IN,1534.38
0881396-IN,413.03
0883519-IN,1217.59
0886833-IN,2373.95
0889987-IN,1227.81
S071642-IN,228
S342979-IN,202.46
S345354-IN,342.15
S071539-IN,831.98
S071540-IN,163.87
S071705-IN,84.92
S071742-IN,206.18
S071743-IN,441.62
S071744-IN,306.29
S071745-IN,241.97
S342673-IN,426.85
S343010-IN,470.16
S344590-IN,216.98
S345659-IN,729.6
0006671-PP,-278.03
0009314-PP,-278.04
W264059-IN,1
CL49375-IN,863.72
VC09.17-PP,-11
PP0325-PP,-13.73
SEP0689-FC,0.91
W263976-IN,74.2
W263977-IN,95
W257819-IN,1.06
0091225-PP,-500
0886928-IN,4118.45
S344555-IN,597.5
W266837-IN,199.6
S345741-IN,402.5
W263979-IN,74.2
0889539-IN,272.26
0889533-IN,562.19
S345278-IN,486.3
0888964-IN,3040.01
APR0608-FC,17.33
AUG0668-FC,24.89
DEC0700-FC,13.14
FEB0717-FC,12.43
JAN0690-FC,12.43
JUL0571-FC,24.89
JUN0571-FC,22.89
MAR0712-FC,17.33
MAY0596-FC,22.89
S034188-IN,102.56
S034780-IN,326.83
S035593-IN,370.5
S036261-IN,133.94
S306621-IN,725.8
SEP0690-FC,24.89
W261274-IN,-760
W264541-IN,100.7
0887834-IN,1250.89
0887839-IN,944.86
0889528-IN,304.34
CL46005-IN,376.9
NSF1012-IN,30
SEP0692-FC,5.09
S345072-IN,137.03
W266383-IN,115
W264542-IN,100.7
AUG0669-FC,2.61
W264543-IN,75
PB0925-PP,-975
0889293-IN,33412.98
0889579-IN,17121.96
5872937-PP,-3942.48
5872938-PP,90.42
5872939-PP,-491.99
5872940-PP,11.91
5872941-PP,-3979.84
5872942-PP,91.18
5872943-PP,-4101.71
5872944-PP,88.23
5872945-PP,-3941.76
5872946-PP,91.37
5872947-PP,-2081.14
5872948-PP,50.51
5872949-PP,-363.62
5872950-PP,8.92
5872951-PP,-85.1
5872952-PP,1.89
W265993-IN,-224.15
W266724-IN,-278.73
W266805-IN,-383
W262884-IN,1
S344441-IN,565.99
SEP0693-FC,8.49
W266384-IN,100.7
W266454-IN,74.2
APR0612-FC,2.9
AUG0670-FC,2.9
DEC0705-FC,2.9
FEB0721-FC,2.9
JAN0694-FC,2.9
JUL0574-FC,2.9
JUN0575-FC,2.9
MAR0716-FC,2.9
MAY0600-FC,2.9
NOV0705-FC,2.9
OCT0664-FC,2.9
SEP0694-FC,2.9
W230708-DM,232.39
S344575-IN,305.64
W261233-IN,75.74
CL48597-IN,1037.91
S341289-IN,418.35
SEP0695-FC,0.6
PB0925-PP,-2145
S049812-IN,122.12
W266385-IN,100.7
S345760-IN,642.1
W263981-IN,102.32
CL48324-IN,250.64
0888502-IN,1096.33
LP0725-PP,-2000
S071799-IN,175.35
W227416-IN,587.32
W262886-IN,89
W263119-IN,50
W262887-IN,99
PP1025-PP,-40.18
CL48326-IN,2197.97
5.30.25-PP,-420
W262888-IN,79
CL49347-IN,335.81
S050310-IN,1501.85
W265286-IN,6604.95
PB0925-PP,-1657.5
W266386-IN,85
SEP0696-FC,1.13
W258648-IN,75.39
S345700-IN,2765.31
W266387-IN,60
W264546-IN,70
W264547-IN,1
W263982-IN,75
S338686-IN,172.37
SEP0698-FC,2.59
0887492-IN,1635.51
0889036-IN,1162.68
PP0925-PP,-25.37
PP1025-PP,-1.04
W252601-CM,-591.06
W265605-IN,100.7
FA1224-PP,-836
W265606-IN,100.7
PP0725-PP,-58.3
S343891-IN,124.07
W265607-IN,1.06
APR0617-FC,21.38
AUG0673-FC,19.51
FEB0725-FC,25.63
JUL0576-FC,19.51
JUN0578-FC,19.51
MAR0723-FC,23.76
MAY0602-FC,21.38
S318941-IN,2150.46
SEP0699-FC,11.38
0878407-IN,643.55
0880569-IN,3057
0883570-IN,234.23
0886177-IN,1171.7
0886962-IN,397.49
0875303-IN,-882.09
0875305-IN,-808.58
0875307-IN,-294.03
S345734-IN,407.36
S346383-IN,1273
W257066-IN,-1526.91
5875417-PP,-547.86
5875418-PP,13.14
0886883-IN,3898.3
0888807-IN,2854.85
PB0925-PP,-1950
S345848-IN,867.1
W266443-IN,125
0882150-IN,635.53
0885516-IN,1037.6
0888494-IN,1832.08
APR0621-FC,7.39
AUG0675-FC,7.39
JUL0578-FC,7.39
JUN0580-FC,7.39
MAY0603-FC,7.39
S043772-IN,591.25
SEP0700-FC,7.39
W262891-IN,99
CL48344-IN,2561.05
SEP0701-FC,53.18
SEP0702-FC,1.13
W264019-IN,75.39
0092225-PP,-400
S071811-IN,254.63
S342845-IN,180.2
S346646-IN,300.3
W266388-IN,74.2
0889441-IN,906.3
AUG0678-FC,6.06
SEP0703-FC,6.06
AUG0679-FC,11.76
JUL0581-FC,11.76
JUN0583-FC,11.76
PB2025-PP,-975
CL48354-IN,77.48
APR0626-FC,7.97
AUG0681-FC,7.97
FEB0735-FC,1.33
JUL0582-FC,7.97
JUN0584-FC,7.97
MAR0732-FC,7.97
MAY0608-FC,7.97
S318955-IN,584.91
SEP0704-FC,4.97
PB0925-PP,-975
0033125-PP,-0.01
W232502-IN,108.1
CL48355-IN,1723.52
LP01.25-PP,-119
LP02.25-PP,-50
LP0225B-PP,-119
LP03.25-PP,-119
LP04.25-PP,-119
LP05.25-PP,-119
LP06.25-PP,-119
LP0725-PP,-38
LP08.25-PP,-38
LP09.25-PP,-38
LP10.25-PP,-38
LP11.24-PP,-89
LP12.24-PP,-119
LP1224-PP,-436.31
W252285-IN,-261.25
S049851-IN,513.24
W234086-IN,99
W240660-IN,145
SEP0705-FC,0.28
PB0925-PP,-3900
APR0628-FC,3.41
AUG0683-FC,3.41
JUL0584-FC,3.41
JUN0586-FC,3.41
MAR0735-FC,3.41
MAY0610-FC,3.41
S320969-IN,272.97
SEP0706-FC,3.41
W263988-IN,70
W264056-IN,75
0887266-IN,38569.16
5874808-PP,-32
5874809-PP,-0.43
5874810-PP,-1156.14
5874811-PP,20.31
5874812-PP,-1165.43
5874813-PP,22.41
5874814-PP,-1123.37
5874815-PP,21.54
5874816-PP,-970.67
5874817-PP,18.34
5874818-PP,-418.54
5874819-PP,8.93
5874820-PP,-956.16
5874821-PP,19.97
W266119-IN,166.88
S071939-IN,150.96
0884885-IN,3405.54
W266389-IN,79.5
PP-PP,-1200
5875419-PP,-4134.25
5875420-PP,4557.86
W265608-IN,100.7
W266390-IN,85
W247699-IN,-344.85
S050129-IN,816.54
W264549-IN,60
PB0925-PP,-975
0886106-IN,2048.99
LP0925-PP,-159
W262894-IN,89
W266354-IN,70
W266391-IN,79.5
0889180-IN,41457.06
0889227-IN,43919.94
0889228-IN,43130.75
0889655-IN,43117.84
S346106-IN,556.75
LP02.25-PP,-300
LP03.25-PP,-300
LP04.25-PP,-375
LP05.25-PP,-300
LP06.25-PP,-300
LP07.25-PP,-137
LP08.25-PP,-137
LP09.25-PP,-137
W262965-IN,89
VC02.24-PP,-1080
S050318-IN,577.12
W266392-IN,85
0018753-PP,-811.36
S036578-IN,288.72
S036627-IN,256.14
S334869-IN,188.64
PRE-PP,-234.6
SEP0707-FC,0.68
W262966-IN,79
0829911-IN,466.35
APR0635-FC,7.45
AUG0686-FC,7.45
JUL0589-FC,7.45
JUN0590-FC,7.45
MAR0741-FC,7.45
MAY0615-FC,7.45
NSF0920-IN,30
SEP0708-FC,7.45
S071438-IN,235.43
SEP0709-FC,3.53
AUG0687-FC,7.94
JUL0590-FC,7.94
JUN0591-FC,7.94
S045659-IN,635.52
S048780-IN,562.5
SEP0710-FC,14.98
PB09.25-PP,-975
0883170-IN,2385.5
SEP0711-FC,0.93
S344821-IN,1071.18
S344822-IN,218.4
S050041-IN,215.05
PB1025-PP,-2925
S346104-IN,156.42
W264551-IN,74.2
FM1224-PP,-1293
S071693-IN,415.45
5866122-PP,-89.93
5866123-PP,2.19
5866124-PP,-3175.16
5866125-PP,71.94
5866126-PP,-724.66
5866127-PP,17.93
5868429-PP,-47
5868430-PP,1.13
5868431-PP,-99.63
5868432-PP,2.38
5868433-PP,-2855.1
5868434-PP,63.28
5868435-PP,-1999.51
5868436-PP,53.23
5870780-PP,-15
5870781-PP,0.53
5870782-PP,-599.94
5870783-PP,14.49
5870784-PP,-2994.23
5870785-PP,71.47
5870786-PP,-1654.53
5870787-PP,42.02
5873145-PP,-4026.56
5873146-PP,90.44
5873147-PP,-2812.62
5873148-PP,66.47
5873149-PP,-689.28
5873150-PP,15.11
5873151-PP,-3009.6
5873152-PP,68.55
5873153-PP,-80.52
5873154-PP,0.92
W265133-IN,-14.55
W265226-IN,-90.41
W265339-IN,-22.42
W265440-IN,-3.32
W265517-IN,-12.9
W265539-IN,-12.97
W265540-IN,-26.35
W265921-IN,-15.71
W265977-IN,-73.88
W266707-IN,-13.39
W266788-IN,-17.46
0887677-IN,44330.06
0888441-IN,42491.64
5857031-PP,-47.68
5857032-PP,1.15
5857033-PP,-2426.74
5857034-PP,61.82
5857035-PP,-3517.39
5857036-PP,86.67
5857037-PP,-4083.47
5857038-PP,103.83
5861961-PP,-2592.55
5861962-PP,62.06
5861963-PP,-3849.88
5861964-PP,91.18
5861965-PP,-3096.15
5861966-PP,77.17
5861967-PP,-760.43
5861968-PP,18.36
5861969-PP,-56.62
5861970-PP,1.31
5861971-PP,-2197.78
5861972-PP,53.05
5861973-PP,-4141.26
5861974-PP,93.72
5861975-PP,-2325.5
5861976-PP,53.42
5861977-PP,-10.17
5861978-PP,0.33
5863984-PP,-67.14
5863985-PP,-1355.92
5863986-PP,31.68
5863987-PP,-3838.7
5863988-PP,90.65
5863989-PP,-1387.06
5863990-PP,37.3
5866114-PP,-47.31
5866115-PP,1.14
5866116-PP,-3972.78
5866117-PP,97.72
5866118-PP,-3442.79
5866119-PP,93.72
5866120-PP,-4493.95
5866121-PP,107.96
5868421-PP,-59.37
5868422-PP,1.37
5868423-PP,-2604.31
5868424-PP,66.59
5868425-PP,-4106.39
5868426-PP,101.64
5868427-PP,-3712.09
5868428-PP,92.24
5870773-PP,-59.51
5870774-PP,-2884.83
5870775-PP,68.66
5870776-PP,-3820.34
5870777-PP,90.46
5870778-PP,-2430.56
5870779-PP,63.16
5873139-PP,-4476.74
5873140-PP,116.43
5873141-PP,-4545.56
5873142-PP,107.01
5873143-PP,-1762.86
5873144-PP,42.41
NSF1040-IN,100
W265134-IN,-4.55
W265227-IN,-49.66
W265340-IN,-4.4
W265441-IN,-3.66
W265518-IN,-12.19
W265541-IN,-12.66
W265542-IN,-46.09
W265922-IN,-14.21
W265978-IN,-6.19
W266708-IN,-10.43
W266789-IN,-4.94
W264558-IN,70
S049915-IN,910.18
LP01.25-PP,-99
LP0125-PP,-223
LP02.25-PP,-223
LP03.25-PP,-256
LP04.25-PP,-223
LP05.25-PP,-223
LP06.25-PP,-223
LP07.25-PP,-140
LP08.25-PP,-140
LP09.25-PP,-140
LP10.25-PP,-140
LP12.24-PP,-223
PRE PAY-PP,-35.75
0051325-PP,-300
W266393-IN,125
FM1224-PP,-2536
S066608-IN,90.18
S071898-IN,334.25
S326983-IN,324
W263990-IN,100.7
W266394-IN,70
0092625-PP,-5
W266395-IN,70
PB93025-PP,-975
W262713-IN,99
S036483-IN,759.68
S305571-IN,475.08
APR0638-FC,0.88
AUG0688-FC,0.88
DEC0733-FC,0.88
FEB0748-FC,0.88
JAN0720-FC,0.88
JUN0593-FC,0.88
MAR0748-FC,0.88
MAY0617-FC,0.88
NOV0740-FC,0.88
OCT0678-FC,0.88
SEP0713-FC,0.88
W230034-IN,70
W266396-IN,70
FM1224-PP,-1368
S346371-IN,340.83
W266397-IN,75
AUG0689-FC,5.25
JUL0593-FC,5.25
S046606-IN,420
S049838-IN,374.19
SEP0714-FC,5.25
0022864-IN,695.06
W263830-IN,75.39
PP-PP,-1267.2
S038186-IN,680.34
S039354-IN,147.34
S041058-IN,181.55
S042744-IN,160.48
S044816-IN,121.41
S045901-IN,915.63
S049764-IN,31.85
S050483-IN,84.59
S050489-IN,81.72
S346580-IN,348
0003147-PP,-282.93
PP0925-PP,-200
LP0124-PP,-260
LP0125-PP,-25
LP0224-PP,-260
LP0225-PP,-25
LP0325-PP,-25
LP03424-PP,-260
LP0424-PP,-260
LP0425-PP,-25
LP0524-PP,-260
LP0525-PP,-25
LP06.24-PP,-260
LP0625-PP,-25
LP07.24-PP,-260
LP0724-PP,-260
LP0725-PP,-25
LP0824-PP,-260
LP0825-PP,-10
LP0924-PP,-25
LP0925-PP,-10
LP1024-PP,-25
LP1025-PP,-10
LP11.24-PP,-75
LP1123-PP,-260
LP1124-PP,-25
LP1223-PP,-260
LP1224-PP,-25
W266398-IN,75
W265611-IN,102.8
W266399-IN,70
S346189-IN,295.53
FA0525-PP,-379
FA1124-PP,-689
SEP0715-FC,1.53
W263992-IN,102.32
0884874-IN,2836.76
0890283-IN,125
S050539-IN,214.49
S050542-IN,337.16
PP0224-PP,-5
PP1223-PP,-4
W266400-IN,1
0881283-IN,524.08
S345982-IN,1326.85
CL49311-IN,1012.33
CL49312-IN,193563.8
CL49348-IN,17808.04
5874840-PP,-241.3
5874841-PP,6.36
S346304-IN,279.75
S344319-IN,268.13
W29405-IN,2119.17
W266401-IN,65
S050528-IN,269.91
W266402-IN,90.1
W995575-PP,-597.06
0121024-PP,-9.56
FM1224-PP,-932
PP0824-PP,-6.26
LP07.25-PP,-175
LP08.25-PP,-137
LP09.25-PP,-137
S343467-IN,383.4
W266403-IN,70
PB0925-PP,-2340
W266784-IN,497.25
PB0925-PP,-975
S342830-IN,1601.6
S342925-IN,1042.85
S343031-IN,1132.85
S343032-IN,1080.25
S343178-IN,1745.09
S343615-IN,1191.85
S343743-IN,1154.9
S343970-IN,1320.23
S344065-IN,1564.5
S344578-IN,3456.8
S344716-IN,1534.55
S344849-IN,1044.64
S345210-IN,1352.17
S345240-IN,2659.55
S345337-IN,1645.38
S345814-IN,1470.3
S345839-IN,1395.1
S345855-IN,1778.89
W265259-IN,-1117.5
W29055-IN,806.58
0887794-IN,155.15
W266453-IN,95
VC10.14-PP,-3900
W266404-IN,75
W265260-IN,3736.25
S046491-IN,609.88
5873793-PP,-10115.27
5873794-PP,231.04
W266405-IN,74.2
W266449-IN,132.5
FM1025-PP,-1499
W266406-IN,95
W995685-PP,-500
S346238-IN,405.72
S346563-IN,180.9
0885694-IN,437.71
0882787-IN,1116.89
S050211-IN,569.06
S343927-IN,724.82
S071916-IN,131.6
0020525-PP,-2350.06
S050420-IN,927.29
APR0644-FC,1.06
AUG0694-FC,1.06
FEB0758-FC,1.06
JUL0596-FC,1.06
JUN0597-FC,1.06
MAR0757-FC,1.06
MAY0621-FC,1.06
S042966-IN,380
SEP0717-FC,1.06
0091625-PP,-660
CASH25-PP,-1338.19
FM0525-PP,-2084
0889110-IN,25193.16
W266037-IN,1545.7
W266407-IN,75
0889343-IN,13736.34
5875099-PP,-1398.42
5875100-PP,22.49
5875101-PP,-1009.91
5875102-PP,18.15
5875103-PP,-1458.54
5875104-PP,20
5875105-PP,-959.19
5875106-PP,16.66
5875107-PP,-1072.89
5875108-PP,16.89
5875109-PP,-1245.35
5875110-PP,18.25
5875111-PP,-1104.21
5875112-PP,17.35
5875113-PP,-1013.78
5875114-PP,15.42
5875115-PP,-949.12
5875116-PP,14.82
W266135-IN,406.61
PB10.25-PP,-975
S342540-IN,180
SEP0718-FC,0.14
W266408-IN,95
LP01.25-PP,-99
LP02.25-PP,-146
LP03.25-PP,-146
LP04.25-PP,-146
LP05.25-PP,-146
LP06.25-PP,-146
LP07.25-PP,-83
LP08.25-PP,-83
LP0925-PP,-83
0121724-PP,-1869.69
0886249-IN,761.84
0886251-IN,3930.46
0886253-IN,2714.99
PB0925-PP,-2730
S343393-IN,272.34
0889339-IN,18851.28
5873234-PP,-5803.88
5873235-PP,112.04
5873319-PP,3.24
5873320-PP,-2.06
5873321-PP,-1.05
5873322-PP,-1.17
W265596-IN,116.73
S344681-IN,343.07
S346021-IN,225.62
S050301-IN,442.26
LP0625-PP,-25
LP0725-PP,-401
LP0825-PP,-401
LP0925-PP,-401
0041825-PP,-3.72
W259471-IN,99
W266409-IN,70
CL48362-IN,31.51
S046456-IN,304.3
S046459-IN,248.09
S046460-IN,337.42
5875421-PP,-9163.92
5875422-PP,278.32
5875423-PP,-212.32
5875424-PP,5.84
S344395-IN,215.4
SEP0719-FC,3.23
W244701-IN,102.32
AUG0695-FC,0.88
SEP0720-FC,0.88
W258721-IN,70
W240348-IN,-116.58
W266675-IN,6211.5
W256298-IN,1.06
0071625-PP,-83.01
PB0925-PP,-3900
S071897-IN,193.03
S346428-IN,586.91
FM1224-PP,-2198
CL49349-IN,343.44
FM0225-PP,-1293
S050492-IN,456.94
PB0925-PP,-975
S344249-IN,540.36
S049887-IN,514.44
S345003-IN,618.75
S071321-IN,246.4
SEP0721-FC,3.7
CL48364-IN,16053.84
W236319-IN,99
PB0925-PP,-2925
S050474-IN,529.41
PB0925-PP,-2340
S346126-IN,278.64
PP-PP,-523.92
S344779-IN,289.08
W266783-IN,1064.5
SEP0723-FC,1.51
W263994-IN,100.7
0887800-IN,1525.41
0889391-IN,1638.9
AUG0698-FC,64.64
JUL0602-FC,35.2
JUN0602-FC,85.73
MAY0629-FC,17.52
SEP0724-FC,19.81
0123024-PP,-5.76
FA1224-PP,-836
S050182-IN,750.93
PP0223-PP,-120
0885185-IN,612.15
0889640-IN,403.2
CL48365-IN,3076.82
0052325-PP,-1000
0101025-PP,-78.17
0103124-PP,-5
W266410-IN,95
PP1025-PP,-0.01
0884898-IN,1151.58
CASH25-PP,-547.55
FM0125-PP,-1108
0101525-PP,-2500
CL49314-IN,112.86
W264554-IN,70
PB0925-PP,-975
S071845-IN,81.32
S344298-IN,573.48
W266038-IN,2500
W995515-PP,-50
W995556-PP,-50
W995671-PP,-50
W995679-PP,-50
FA0125-PP,-1000
AUG0700-FC,1.51
S071903-IN,88.2
SEP0725-FC,1.51
W258657-IN,100.7
PB0925-PP,-3120
0889325-IN,27946.51
5870820-PP,-8039.23
5873189-PP,-8296.94
S346040-IN,360.18
LP0525-PP,-250
LP0625-PP,-250
LP0725-PP,-180
LP0825-PP,-180
LP0925-PP,-180
LP1025-PP,-170
PB0925-PP,-975
AUG0701-FC,0.63
S049982-IN,413.5
SEP0726-FC,5.79
W259608-IN,50
0889103-IN,30654.56
AUG0702-FC,13.75
JUL0605-FC,13.75
JUN0604-FC,13.75
S331734-IN,748.2
SEP0727-FC,13.75
W249921-IN,351.95
S345370-IN,578.34
S049558-IN,514.12
PB1025-PP,-3900
S345450-IN,233.46
S345454-IN,77.7
W265274-IN,242
S050584-IN,730
W266816-IN,145
W257871-IN,1.06
FA1224-PP,-1039
0013125-PP,-6.3
S049785-IN,1042.34
AUG0705-FC,3.47
JUL0610-FC,3.47
JUN0607-FC,3.47
S331483-IN,231.25
SEP0728-FC,3.47
TR0425-PP,-498
PB0924-PP,-9450
PB93025-PP,-975
S343899-IN,87.5
S038452-IN,652.83
CC12.13-PP,-242.76
S338585-IN,385
SEP0729-FC,5.78
S049670-IN,242.35
S050394-IN,352.08
0880674-IN,140.14
0889927-IN,1380.39
0879841-IN,23136.72
0887099-IN,33128.74
0887559-IN,21356.18
0887568-IN,21350.48
0888977-IN,21533.18
W265387-IN,30.68
5875429-PP,-4081.3
5875430-PP,96.87
S071860-IN,284.31
0875131-IN,519.42
0877061-IN,449.22
0879166-IN,42.76
0880656-IN,811.57
0882302-IN,472.17
0884042-IN,693.68
0885766-IN,812.27
0887368-IN,905.35
0889007-IN,671.75
SEP0730-FC,12.11
W260541-IN,125
W264825-IN,125
S346338-IN,678.31
5872972-PP,-145.49
5872973-PP,4.25
5872974-PP,-191.74
5872975-PP,4.72
5872976-PP,-3334.31
5872977-PP,77.24
5872978-PP,-1880.29
5872979-PP,41.9
S344646-IN,113.35
CASH25-PP,-358.08
FM0425-PP,-1405
W266782-IN,914.28
W259475-IN,99
0101525-PP,-169.56
S346244-IN,169.56
FA0225-PP,-1039
APR0670-FC,0.82
APR0804-FC,0.98
AUG0665-FC,0.98
AUG0679-FC,0.82
AUG0707-FC,0.82
DEC0764-FC,0.82
DEC0899-FC,0.98
FEB0780-FC,0.82
FEB0845-FC,0.98
JAN0748-FC,0.82
JAN0799-FC,0.98
JUL0612-FC,0.82
JUL0645-FC,0.98
JUL0710-FC,0.98
JUN0610-FC,0.82
JUN0668-FC,0.98
JUN0707-FC,0.98
MAR0789-FC,0.82
MAR0804-FC,0.98
MAY0640-FC,0.82
MAY0701-FC,0.98
NOV0762-FC,0.82
NOV0840-FC,0.98
OCT0683-FC,0.82
OCT0716-FC,0.98
S252277-IN,899.1
SEP0699-FC,0.82
SEP0725-FC,0.98
SEP0731-FC,0.82
S071815-IN,368.55
S071817-IN,128.28
0890161-IN,70
S343674-IN,36.84
S343815-IN,535.15
SEP0732-FC,7.15
S344360-IN,39.46
PB0925-PP,-1755
0889379-IN,2391.71
CL48827-IN,732.86
S345851-IN,427.02
CL48828-IN,998.3
W239392-IN,1
0887155-IN,1317.94
W995588-PP,-600
S036629-IN,166.5
PB0925-PP,-877.5
0888777-IN,31061.95
0888822-IN,32889.42
CASH25-PP,-1000
5872932-PP,-42.16
5872933-PP,-3919.42
5872934-PP,84.91
5872935-PP,-1175.14
5872936-PP,26
W266725-IN,-33.83
W266806-IN,-60.25
5872888-PP,-90.31
5872889-PP,-7.29
5872890-PP,-1549.23
5872891-PP,23.43
5872892-PP,-1342.1
5872893-PP,22.46
5872894-PP,-1443.61
5872895-PP,22.74
5872896-PP,-875.57
5872897-PP,14.52
5872898-PP,-763.63
5872899-PP,10.93
5875431-PP,-36.1
5875432-PP,-2.51
5875433-PP,-1390.22
5875434-PP,20.85
5875435-PP,-1209.42
5875436-PP,19.16
5875437-PP,-1208.79
5875438-PP,22.54
5875439-PP,-1099.78
5875440-PP,18.73
5875441-PP,-1792.92
5875442-PP,26.12
5875443-PP,-1677.27
5875444-PP,30.34
5875445-PP,-1557.49
5875446-PP,22.31
5875447-PP,-584.32
5875448-PP,7.34
5875449-PP,-1524.97
5875450-PP,23.33
W259077-CM,-50
SEP0733-FC,1.53
LP01.25-PP,-194
LP02.25-PP,-194
LP03.25-PP,-194
LP04.25-PP,-194
LP06.25-PP,-194
LP07.25-PP,-57
LP08.25-PP,-57
LP09.25-PP,-57
LP11.24-PP,-194
LP1224-PP,-293
LP52725-PP,-194
AUG0709-FC,3.6
JUL0613-FC,3.6
JUN0613-FC,3.6
MAY0645-FC,3.6
S326216-IN,288
SEP0734-FC,3.6
W266412-IN,79.5
SEP0735-FC,1.24
W259415-IN,99
0886797-IN,341.05
0888438-IN,345.74
0890179-IN,502.32
W263997-IN,100.7
S050287-IN,654.9
W265181-IN,570.5
5875453-PP,-1169.92
5875454-PP,32.93
0889862-IN,29413.21
5868473-PP,-4401.56
5870823-PP,-5746.14
5873192-PP,-5496.94
PB0925-PP,-1170
0072825-PP,-98.94
PP1222-PP,-70
SEP0736-FC,0.86
W263998-IN,100.7
0092325-PP,-205
S048883-IN,350.95
SEP0737-FC,4.39
S346020-IN,22.59
S346022-IN,141.73
S346023-IN,571.64
S346025-IN,29.07
0889314-IN,16704.34
5866162-PP,-5352.98
5868476-PP,-5760.66
5870826-PP,-6440.69
5873196-PP,-6070.86
CL49350-IN,60.35
S050237-IN,691.6
S050400-IN,819
0032525-PP,-500
AUG0712-FC,2.49
S341449-IN,165.91
SEP0739-FC,2.49
SEP0740-FC,2.61
W262918-IN,209
S342456-IN,929.77
S071756-IN,264.24
0033125-PP,-2.97
S049483-IN,775.8
5875451-PP,-135.24
5875452-PP,3.04
0025276-PP,-120
0849343-IN,11708.88
W266863-CM,-739.32
W266865-CM,-235.85
W266866-CM,-403.07
W266870-CM,-1241.87
W266871-CM,-628.93
W266872-CM,-211.54
W266878-CM,-317.31
PP1025-PP,-39.5
0887860-IN,94.22
S345048-IN,207.79
S345049-IN,223.04
0042425-PP,-616.5
S342818-IN,329.58
APR0676-FC,4.93
AUG0715-FC,6.06
FEB0784-FC,4.93
JAN0750-FC,4.93
JUL0620-FC,6.06
JUN0619-FC,4.93
MAR0794-FC,4.93
MAY0649-FC,4.93
S314500-IN,328.49
SEP0743-FC,6.06
W254658-IN,75.39
PB2025-PP,-2145
PB0925-PP,-1365
S050176-IN,107.9
W266413-IN,70
09.2025-PP,-1170
0022625-PP,-668
W266414-IN,95
PB2025-PP,-975
0881238-IN,1758.95
0882169-IN,2869.09
0882814-IN,3972.42
0883349-IN,1892.02
0886740-IN,2110.9
0887142-IN,1566.8
0888048-IN,3967.3
0888811-IN,2585.16
0889388-IN,1187.62
0889635-IN,2761.94
S343966-IN,390.48
S345689-IN,718.74
S345690-IN,338.16
SEP0744-FC,196.4
5873155-PP,-15.97
5873156-PP,0.55
5873157-PP,-61.13
5873158-PP,2.08
5873159-PP,-3593.55
5873160-PP,73.6
5873161-PP,-4172.89
5873162-PP,95.57
5873163-PP,-3649.12
5873164-PP,83.53
5873165-PP,-2922.66
5873166-PP,68.41
W266706-IN,-88.49
W266787-IN,-65.68
LP02.25-PP,-250
LP03.25-PP,-250
LP04.25-PP,-250
LP05.25-PP,-250
LP06.25-PP,-250
LP07.25-PP,-250
LP09.25-PP,-99
S345941-IN,137.25
0888410-IN,1297.67
S346270-IN,570
0888068-IN,1154.16
0888841-IN,1648.8
AUG0716-FC,10.49
CL44585-IN,429.43
CL48055-IN,898.24
SEP0745-FC,10.49
W254312-IN,410
PB0925-PP,-1850
W266415-IN,95
0889350-IN,18993.9
5875339-PP,-925.81
5875340-PP,16.29
5875341-PP,-769.27
5875342-PP,15.21
5875343-PP,-832.86
5875344-PP,15.25
5875345-PP,-980.41
5875346-PP,16.73
5875347-PP,-250.59
5875348-PP,5.18
5875349-PP,-755.54
5875350-PP,14.95
5875351-PP,-772.29
5875352-PP,14.01
5875353-PP,-165.41
5875354-PP,3.43
5875355-PP,-633.29
5875356-PP,11.85
5875357-PP,-203.21
5875358-PP,-8.16
W266154-IN,140.77
0091725-PP,-496.91
0100925-PP,-90
