Invoice,Amount
0888329-IN,350.56
0888330-IN,350.58
0888331-IN,350.56
0888380-IN,666.38
0888481-IN,350.52
0888541-IN,725.16
0888547-IN,1201.79
0888591-IN,543.13
0888592-IN,879.68
0888593-IN,1006.32
0888595-IN,710.37
0888665-IN,336.85
0888848-IN,879.69
0888854-IN,711.38
0888858-IN,710.63
0888984-IN,198.1
0889012-IN,709.08
0889070-IN,878.99
0889081-IN,350.68
0889116-IN,339.24
0889129-IN,1241.32
0889130-IN,350.52
0889209-IN,1204.54
0889215-IN,880.45
0889224-IN,804.3
0889225-IN,755.36
0889332-IN,606.5
0889354-IN,349.13
0889442-IN,464.22
0889443-IN,265.66
0889560-IN,399
0889561-IN,399.06
0889567-IN,349.16
0889610-IN,349.13
0889627-IN,399
0889711-IN,199.34
0889857-IN,399
0889907-IN,349.26
0889914-IN,614.21
0889915-IN,710.97
0890116-IN,777.88
0890207-IN,589.41
0888186-IN,1296.59
0890531-IN,689.86
0885563-IN,22434.26
0887973-IN,22187.66
CL47782-IN,657.24
S346534-IN,108.35
S071787-IN,88.12
S071823-IN,689.31
S071919-IN,891.16
S071943-IN,364.99
S344631-IN,195.37
S345592-IN,286.58
0890172-IN,2213.78
0882272-IN,2002.24
SEP0029-FC,23.47
0889482-IN,29312.64
W266082-IN,305.53
0869442-IN,3270.07
0887054-IN,3075.39
0890174-IN,2686.06
0889585-IN,21187.77
5875183-PP,-1162.51
5875184-PP,19.41
5875185-PP,-898.47
5875186-PP,16.62
5875187-PP,-60.49
5875188-PP,-2.1
S344614-IN,263.81
S345624-IN,185.23
S346541-IN,454.9
W266184-IN,148.14
H77404I-IN,256.88
H77440I-IN,14.99
H77582I-IN,3.95
H77850I-IN,153.06
H77851R-IN,-15
0571540-IN,3788.45
0881024-IN,858.03
0885355-IN,1306.29
0886736-IN,2725.27
0889957-IN,1516.83
S343438-IN,327.34
W260540-IN,214.52
SEP0030-FC,15.74
0871404-IN,4379.32
0882026-IN,11264.87
AUG0031-FC,47.85
SEP0031-FC,54.74
0889370-IN,7793.79
0890175-IN,4449.11
0877480-IN,658.01
0877481-IN,983.31
0885356-IN,590.19
0885357-IN,1347.83
SEP0033-FC,20.52
W230183-IN,135.13
0886427-IN,7018.2
0887055-IN,143.94
0888632-IN,1009.83
0877589-IN,4085.62
0886096-IN,2318.26
SEP0034-FC,51.07
0887764-IN,1343.03
0813987-IN,972.73
0886095-IN,816.24
0887762-IN,1188.03
0889928-IN,2622.76
0888336-IN,1648.34
0879519-IN,2771.08
0881023-IN,1304.04
0887313-IN,2711.58
0890173-IN,4364.73
5874079-PP,-1815.73
5874080-PP,30.84
5874081-PP,-1645.16
5874082-PP,27.89
5874083-PP,-1642.37
5874084-PP,29.7
5874085-PP,-31.62
5874086-PP,0.31
5874087-PP,-158.2
5874088-PP,-10.5
0081925-PP,-116.61
LP02.25-PP,-69
LP03.25-PP,-69
LP04.25-PP,-69
LP05.25-PP,-69
LP06.25-PP,-158
LP07.25-PP,-37
LP08.25-PP,-37
LP09.24-PP,-69
LP09.25-PP,-37
LP1024-PP,-69
LP11.24-PP,-69
LP12.24-PP,-69
0091525-PP,-9538.6
S342000-IN,45.15
SEP0035-FC,0.68
AUG0034-FC,5.25
JUL0024-FC,5.25
S046514-IN,420
SEP0036-FC,5.25
0889433-IN,3028.03
S345209-IN,675.83
AUG0036-FC,1.53
JUL0026-FC,1.53
JUN0025-FC,1.53
SEP0037-FC,1.53
S021458-IN,449.76
APR0028-FC,2.09
APR0039-FC,0.9
AUG0030-FC,2.09
AUG0037-FC,3.29
DEC0028-FC,2.09
FA0323-PP,-500
FEB0038-FC,2.09
JAN0034-FC,2.09
JUL0027-FC,3.29
JUL0040-FC,2.09
JUN0026-FC,2.09
JUN0035-FC,0.9
MAR0032-FC,2.09
MAY0023-FC,2.09
